,country_code,raised_amount_usd,IsOfficialEN
0,USA,422510842796.0,True
1,CHN,39835418773.0,False
2,GBR,20245627416.0,True
3,IND,14391858718.0,True
4,CAN,9583332317.0,True
5,FRA,7259536732.0,False
6,ISR,6907514579.0,False
7,DEU,6346959822.0,False
8,JPN,3363676611.0,False
9,SWE,3254952563.0,False
10,NLD,2939403619.0,False
11,CHE,2827560264.0,False
12,SGP,2793917856.0,False
13,ESP,1835831452.0,False
14,BRA,1785986890.0,False
15,IRL,1676131350.0,True
16,RUS,1570426005.0,False
17,AUS,1322934948.0,True
18,DNK,1228310641.0,False
19,BEL,1070542301.0,False
20,FIN,1043199709.0,False
21,NOR,956192413.0,False
22,KOR,939988262.0,False
23,MYS,883058787.0,False
24,HKG,781266982.0,True
25,AUT,630954952.0,False
26,TWN,623979485.0,False
27,TUR,559097457.0,False
28,ITA,488289353.0,False
29,NZL,448316383.0,True
30,LUX,363100678.0,False
31,ARE,342617539.0,False
32,ARG,314338819.0,False
33,BMU,288800000.0,True
34,IDN,288492285.0,False
35,EGY,268225000.0,False
36,NGA,245440000.0,False
37,ZAF,234062861.0,True
38,MEX,190873643.0,False
39,CZE,178341562.0,False
40,PRT,137059950.0,False
41,POL,121502702.0,False
42,PHL,114499742.0,False
43,THA,108060000.0,False
44,COL,100126293.0,False
45,EST,96729971.0,False
46,ISL,93562550.0,False
47,LTU,87762880.0,False
48,VNM,84880509.0,False
49,PAK,83125000.0,False
50,CYP,81000000.0,False
51,CYM,79587857.0,True
52,TAN,79450000.0,False
53,KEN,53940000.0,False
54,GIB,32929912.0,True
55,HUN,32067281.0,False
56,GHA,31200000.0,False
57,CHL,30406239.0,False
58,MAF,29243184.0,False
59,JOR,28850000.0,False
60,ARM,26517500.0,False
61,LVA,23679342.0,False
62,URY,19830000.0,False
63,ROM,18406654.0,False
64,UKR,17792461.0,False
65,MLT,17728300.0,True
66,KNA,15000000.0,True
67,KWT,14000000.0,False
68,LIE,13091716.0,False
69,MNE,12200000.0,False
70,SVN,12017508.0,False
71,BGR,11300000.0,False
72,KAZ,11000000.0,False
73,GRC,10743775.0,False
74,BAH,8900000.0,False
75,TTO,8500000.0,False
76,SVK,8241062.0,False
77,BGD,7002000.0,False
78,LBN,6455000.0,False
79,GGY,3960000.0,False
80,TUN,3920000.0,False
81,SEN,2860000.0,False
82,HRV,2633669.0,False
83,UGA,2500000.0,False
84,PER,2469270.0,False
85,BWA,2250000.0,False
86,PAN,2100000.0,False
87,LAO,2100000.0,False
88,MAR,1600000.0,False
89,MUS,1500000.0,False
90,PRI,1441901.0,False
91,ECU,965850.0,False
92,MCO,657000.0,False
93,SAU,500000.0,False
94,CMR,359561.0,False
95,GTM,300000.0,False
96,MMR,200000.0,False
97,BHR,,False
98,CRI,,False
99,MKD,,False
100,MOZ,,False
101,PSE,,False
102,RWA,,False
